Name,Formula,#CH3,#CH2,#CH,#C,#OH,#C-O-C,#O=C,DBA,#N,#Hal,O:C,M / g/mol,Tm / K,Tg / K,Tg/Tm,Tm/Tg,#S,#branching,#C:#OH,DBA:#C,#CH:#C,#Hal:#C
leucrose,C12H22O11,0,3,8,1,8,2,1,2,0,0,0.9167,342.0,435.0,362.7,0.833793103,1.199338296,0,9,0.125,2.0,8.0,0.0
levoglucosan,C6H10O5,0,1,5,0,3,2,0,2,0,0,0.8333,162.0,456.0,248.4,0.544736842,1.835748792,0,5,0.0,0.0,0.0,0.0
lyxose,C5H10O5,0,1,3,1,4,0,1,1,0,0,1.0,150.0,383.15,277.1,0.723215451,1.382713822,0,4,0.25,1.0,3.0,0.0
maltoheptaose,C42H72O36,0,7,35,0,23,13,0,7,0,0,0.8571,1152.0,435.0,423.0,0.972413793,1.028368794,0,35,0.0,0.0,0.0,0.0
maltohexaose,C36H62O31,0,6,30,0,20,11,0,6,0,0,0.8611,990.0,479.15,433.0,0.903683606,1.106581986,0,30,0.0,0.0,0.0,0.0
maltopentaose,C30H52O26,0,5,25,0,17,9,0,5,0,0,0.8667,828.0,441.15,426.5,0.966791341,1.034349355,0,25,0.0,0.0,0.0,0.0
maltose,C12H22O11,0,2,10,0,8,3,0,2,0,0,0.9167,342.0,436.0,366.4,0.840366972,1.189956332,0,10,0.0,0.0,0.0,0.0
maltotriose,C18H32O16,0,3,15,0,11,5,0,3,0,0,0.8889,504.0,407.0,395.0,0.970515971,1.030379747,0,15,0.0,0.0,0.0,0.0
mannose,C6H12O6,0,1,4,1,5,0,1,1,0,0,1.0,180.0,405.15,303.5,0.74910527,1.334925865,0,5,0.2,1.0,4.0,0.0
mannobiose,C12H22O11,0,2,10,0,8,3,0,2,0,0,0.9167,342.0,476.65,363.0,0.76156509,1.313085399,0,10,0.0,0.0,0.0,0.0
melibiose,C12H22O11,0,2,10,0,8,3,0,2,0,0,0.9167,342.0,457.0,366.8333333,0.80269876,1.245797365,0,10,0.0,0.0,0.0,0.0
nigerose,C12H22O11,0,2,10,0,8,3,0,2,0,0,0.9167,342.0,429.0,362.0,0.843822844,1.185082873,0,10,0.0,0.0,0.0,0.0
nystose,C24H42O21,0,7,14,3,14,7,0,4,0,0,0.875,666.0,405.0,350.0,0.864197531,1.157142857,0,17,0.21428571428571427,1.3333333333333333,4.666666666666667,0.0
raffinose,C18H32O16,0,4,13,1,11,5,0,3,0,0,0.8889,504.0,416.0,381.7142857,0.917582418,1.089820359,0,14,0.09090909090909091,3.0,13.0,0.0
rhamnose,C6H12O5,1,0,4,1,4,0,1,1,0,0,0.8333,164.0,355.0,283.0,0.797183099,1.254416961,0,5,0.25,1.0,4.0,0.0
fucose,C6H12O5,1,0,4,1,4,0,1,1,0,0,0.8333,164.0,413.0,299.0,0.723970944,1.381270903,0,5,0.25,1.0,4.0,0.0
sorbose,C6H12O6,0,2,3,1,5,0,1,1,0,0,1.0,180.0,436.0,292.0,0.669724771,1.493150685,0,4,0.2,1.0,3.0,0.0
stachyose,C24H42O21,0,5,18,1,14,7,0,4,0,0,0.875,666.0,441.0,396.0,0.897959184,1.113636364,0,19,0.07142857142857142,4.0,18.0,0.0
talose,C6H12O6,0,1,4,1,5,0,1,1,0,0,1.0,180.0,407.0,284.7,0.6995086,1.429574991,0,5,0.2,1.0,4.0,0.0
turanose,C12H22O11,0,3,8,1,8,2,1,2,0,0,0.9167,342.0,441.0,343.2,0.778231293,1.284965035,0,9,0.125,2.0,8.0,0.0
"3-methyl-1,2,3-butanetricarboxylic acid",C8H12O6,2,1,1,4,3,0,3,3,0,0,0.75,204.0,416.15,305.0,0.732908807,1.36442623,0,5,1.3333333333333333,0.75,0.25,0.0
cyclooctanol,C8H16O,0,7,1,0,1,0,0,1,0,0,0.125,128.0,293.0,168.0,0.57337884,1.744047619,0,1,0.0,0.0,0.0,0.0
"1,2-dimethylcyclohexane",C8H16,2,4,2,0,0,0,0,1,0,0,0.0,112.0,201.0,97.0,0.482587065,2.072164948,0,2,0.0,0.0,0.0,0.0
2-methylbutane,C5H12,3,1,1,0,0,0,0,0,0,0,0.0,72.0,113.0,76.0,0.672566372,1.486842105,0,1,0.0,0.0,0.0,0.0
4-methylcyclohexen,C7H12,1,3,3,0,0,0,0,2,0,0,0.0,96.0,158.0,94.0,0.594936709,1.680851064,0,3,0.0,0.0,0.0,0.0
acetaldehyd,C2H4O,1,0,0,1,0,0,1,1,0,0,0.5,44.0,149.0,82.0,0.55033557,1.817073171,0,1,0.0,1.0,0.0,0.0
butyronitrile,C4H7N,1,2,0,1,0,0,0,2,1,0,0.0,69.0,161.25,97.0,0.601550388,1.662371134,0,1,0.0,2.0,0.0,0.0
4-cyanoaniline,C7H6N2,0,0,4,3,0,0,0,6,2,0,0.0,118.0,465.0,314.0,0.675268817,1.48089172,0,7,0.0,2.0,1.3333333333333333,0.0
1-naphthylamine,C10H9N,0,0,7,3,0,0,0,7,1,0,0.0,143.0,500.0,306.0,0.612,1.633986928,0,10,0.0,2.3333333333333335,2.3333333333333335,0.0
2-naphthylamine,C10H9N,0,0,7,3,0,0,0,7,1,0,0.0,143.0,458.0,304.0,0.663755459,1.506578947,0,10,0.0,2.3333333333333335,2.3333333333333335,0.0
m-toluidine,C7H9N,3,0,3,3,0,0,0,4,1,0,0.0,107.0,242.325,187.0,0.771690911,1.295855615,0,6,0.0,1.3333333333333333,1.0,0.0
triethylamine,C6H15N,3,3,0,0,0,0,0,0,1,0,0.0,101.0,158.45,103.15,0.650994004,1.536112458,0,0,0.0,0.0,0.0,0.0
pyridine,C5H5N,0,0,5,0,0,0,0,4,1,0,0.0,79.0,231.45,127.45,0.55065889,1.816006277,0,5,0.0,0.0,0.0,0.0
2-methoxy-4-nitroaniline,C7H8N2O3,1,0,3,3,0,1,2,5,2,0,0.4286,168.0,457.0,330.5,0.723194748,1.382753404,0,6,0.0,1.6666666666666667,1.0,0.0
4-nitroaniline,C6H6N2O2,0,0,4,2,0,0,2,5,2,0,0.3333,138.0,452.0,318.0,0.703539823,1.421383648,0,6,0.0,2.5,2.0,0.0
4-nitro-1-naphthylamine,C10H8N2O2,0,0,6,4,0,0,2,8,2,0,0.2,188.0,448.0,305.0,0.680803571,1.468852459,0,10,0.0,2.0,1.5,0.0
2-nitroaniline,C6H6N2O2,0,0,4,2,0,0,2,5,2,0,0.3333,138.0,454.0,299.0,0.658590308,1.518394649,0,6,0.0,2.5,2.0,0.0
3-nitroaniline,C6H6N2O2,0,0,4,2,0,0,2,5,2,0,0.3333,138.0,431.0,301.0,0.69837587,1.431893688,0,6,0.0,2.5,2.0,0.0
4-methoxyaniline,C7H9NO,1,0,4,2,0,1,0,4,1,0,0.1429,123.0,453.0,287.0,0.633554084,1.578397213,0,6,0.0,2.0,2.0,0.0
cinchonine,C19H22N2O,0,5,11,3,1,0,0,10,2,0,0.0526,194.0,522.0,395.0,0.756704981,1.321518987,0,14,3.0,3.3333333333333335,3.6666666666666665,0.0
brucine,C23H26N2O4,2,6,8,7,0,3,1,12,2,0,0.1739,394.0,451.0,367.0,0.813747228,1.228882834,0,15,0.0,1.7142857142857142,1.1428571428571428,0.0
cinchonidine,C19H22N2O,0,5,11,3,1,0,0,10,2,0,0.0526,194.0,476.0,377.0,0.792016807,1.262599469,0,14,3.0,3.3333333333333335,3.6666666666666665,0.0
piperine,C17H19NO3,0,6,7,4,0,2,1,9,1,0,0.1765,285.0,401.0,284.0,0.708229426,1.411971831,0,11,0.0,2.25,1.75,0.0
benzyl n-phenylcarbamate,C13H11NO2,0,1,10,3,0,1,1,9,1,0,0.1429,227.0,354.0,233.0,0.65819209,1.519313305,0,13,0.0,3.0,3.3333333333333335,0.0
methyl n-phenylcarbamate,C8H9NO2,1,0,5,2,0,1,1,5,1,0,0.25,151.0,325.0,218.0,0.670769231,1.490825688,0,7,0.0,2.5,2.5,0.0
ethyl n-phenylcarbamate,C9H11NO2,1,1,5,2,0,1,1,5,1,0,0.2222,165.0,326.0,213.0,0.653374233,1.530516432,0,7,0.0,2.5,2.5,0.0
propyl n-phenylcarbamate,C10H13NO2,1,2,5,2,0,1,1,5,1,0,0.2,179.0,331.0,203.0,0.613293051,1.630541872,0,7,0.0,2.5,2.5,0.0
dibucaine,C20H29N3O2,3,7,5,5,0,1,1,8,3,0,0.1,343.0,336.0,246.0,0.732142857,1.365853659,0,10,0.0,1.6,1.0,0.0
proxyphylline,C10H14N4O3,3,1,2,4,1,0,2,6,4,0,0.3,238.0,403.0,295.0,0.732009926,1.366101695,0,6,4.0,1.5,0.5,0.0
proxyphylline,C10H14N4O3,3,1,2,4,1,0,2,5,4,0,0.3,238.0,403.0,295.0,0.732009926,1.366101695,0,6,4.0,1.25,0.5,0.0
eserine,C15H21N3O2,4,2,4,5,0,1,1,7,3,0,0.1333,275.0,378.0,297.0,0.785714286,1.272727273,0,9,0.0,1.4,0.8,0.0
nialamide,C16H18N4O2,0,3,9,4,0,0,2,10,3,0,0.125,298.0,427.0,297.0,0.695550351,1.437710438,0,13,0.0,2.5,2.25,0.0
nialamide,C16H18N4O2,0,3,9,4,0,0,2,10,4,0,0.125,298.0,427.0,297.0,0.695550351,1.437710438,0,13,0.0,2.5,2.25,0.0
acetaminophen,C8H9NO2,1,0,4,3,1,0,1,5,1,0,0.25,151.0,419.0,299.0,0.713603819,1.401337793,0,7,3.0,1.6666666666666667,1.3333333333333333,0.0
diphylline,C10H14N4O4,2,2,2,4,2,0,2,6,4,0,0.4,254.0,438.0,315.0,0.719178082,1.39047619,0,6,2.0,1.5,0.5,0.0
nitrendipine,C18H20N2O6,4,1,4,9,0,2,4,10,2,0,0.3333,360.0,429.0,303.0,0.706293706,1.415841584,0,13,0.0,1.1111111111111112,0.4444444444444444,0.0
phenobarbital,C12H12N2O3,1,1,5,5,0,0,3,8,2,0,0.25,232.0,447.3833333,318.3333333,0.711544909,1.40539267,0,10,0.0,1.6,1.0,0.0
quinidine,C20H24N2O2,1,5,10,4,1,1,0,10,2,0,0.1,324.0,445.0,326.0,0.73258427,1.365030675,0,14,4.0,2.5,2.5,0.0
antipyrine,C11H12N2O,2,0,6,3,0,0,1,7,2,0,0.0909,188.0,380.0,256.0,0.673684211,1.484375,0,9,0.0,2.3333333333333335,2.0,0.0
phenylbutazone,C19H20N2O2,1,3,11,4,0,0,2,11,2,0,0.1053,308.0,377.0,277.0,0.734748011,1.36101083,0,15,0.0,2.75,2.75,0.0
quinineethylcarbonate,C23H28N2O4,2,6,10,5,0,3,1,11,2,0,0.1739,396.0,362.0,278.0,0.767955801,1.302158273,0,15,0.0,2.2,2.0,0.0
pentobarbital,C11H18N2O3,3,3,1,4,0,0,3,4,2,0,0.2727,226.0,408.0,279.0,0.683823529,1.462365591,0,5,0.0,1.0,0.25,0.0
atropine,C17H23NO3,1,5,9,2,1,1,1,7,1,0,0.1765,289.0,379.0,281.0,0.741424802,1.348754448,0,11,2.0,3.5,4.5,0.0
hexobarbital,C12H16N2O3,2,4,1,5,0,0,3,6,2,0,0.25,236.0,423.0,286.0,0.676122931,1.479020979,0,6,0.0,1.2,0.2,0.0
amobarbital,C11H18N2O3,3,3,1,4,0,0,3,4,2,0,0.2727,226.0,432.0,286.0,0.662037037,1.51048951,0,5,0.0,1.0,0.25,0.0
nimodipine,C21H26N2O7,5,2,6,8,0,3,4,10,2,0,0.3333,418.0,389.0,288.0,0.740359897,1.350694444,0,14,0.0,1.25,0.75,0.0
dimethyl acetamide,C4H9NO,3,0,0,1,0,0,1,1,1,0,0.25,87.0,254.56,146.15,0.574127907,1.741772152,0,1,0.0,1.0,0.0,0.0
1-bromobutane,C4H9Br,1,3,0,0,0,0,0,0,0,1,0.0,137.0,159.875,99.9,0.624863174,1.60035035,0,0,0.0,0.0,0.0,0.0
1-bromobutane,C4H9Br,1,3,0,0,0,0,0,0,0,1,0.0,137.018,159.875,99.9,0.624863174,1.60035035,0,0,0.0,0.0,0.0,0.0
isobutylbromide,C4H9Br,2,1,1,0,0,0,0,0,0,1,0.0,137.018,155.18,92.22,0.594277613,1.682715246,0,1,0.0,0.0,0.0,0.0
isobutylbromide,C4H9Br,2,1,1,0,0,0,0,0,0,1,0.0,137.0,155.18,92.22,0.594277613,1.682715246,0,1,0.0,0.0,0.0,0.0
isoamylbromide,C5H11Br,2,2,1,0,0,0,0,0,0,1,0.0,151.045,161.225,107.0,0.663668786,1.506775701,0,1,0.0,0.0,0.0,0.0
3-bromopentane,C5H11Br,2,2,1,0,0,0,0,0,0,1,0.0,151.0,146.9,108.0,0.73519401,1.360185185,0,1,0.0,0.0,0.0,0.0
9-bromophenanthrene,C14H9Br,0,0,9,5,0,0,0,12,0,1,0.0,257.0,337.65,224.8,0.665778173,1.502001779,0,14,0.0,2.4,1.8,0.2
bromobenzene,C6H5Br,0,0,5,1,0,0,0,4,0,1,0.0,157.008,243.0,140.0,0.576131687,1.735714286,0,6,0.0,4.0,5.0,1.0
tert-butyl-chloride,C4H9Cl,3,0,0,1,0,0,0,0,0,1,0.0,92.0,247.75,133.75,0.539858729,1.852336449,0,1,0.0,0.0,0.0,1.0
tert-butyl-chloride,C4H9Cl,2,1,1,0,0,0,0,0,0,1,0.0,92.0,247.75,133.75,0.539858729,1.852336449,0,1,0.0,0.0,0.0,0.0
1 -bromopropane,C3H7Br,1,2,0,0,0,0,0,0,0,1,0.0,122.992,160.3,107.0,0.66749844,1.498130841,0,0,0.0,0.0,0.0,0.0
1-iodobutane,C4H9I,1,3,0,0,0,0,0,0,0,1,0.0,184.018,164.6,108.4,0.658566221,1.518450185,0,0,0.0,0.0,0.0,0.0
isobutylchloride,C4H9Cl,2,1,1,0,0,0,0,0,0,1,0.0,92.0,142.35,88.7,0.623112048,1.604847802,0,1,0.0,0.0,0.0,0.0
iodobenzene,C6H5I,0,0,5,1,0,0,0,4,0,1,0.0,204.008,241.6,149.7,0.619619205,1.613894456,0,6,0.0,4.0,5.0,1.0
m-fluorotoluene,C7H7F,1,0,4,2,0,0,0,4,0,1,0.0,110.129,185.575,122.5,0.660110467,1.514897959,0,6,0.0,2.0,2.0,0.5
trichloroethylene,C2HCl3,0,0,1,1,0,0,0,1,0,3,0.0,131.0,188.45,107.05,0.568055187,1.76039234,0,2,0.0,1.0,1.0,3.0
hydrochloro-thiazide,C7H8ClN3O4S2,0,1,2,4,0,0,4,5,3,1,0.5714,297.74,547.15,385.0,0.703646166,1.421168831,2,6,0.0,1.25,0.5,0.25
griseofulvin,C17H17ClO6,4,1,3,9,0,4,2,9,0,1,0.3529,352.0,477.2875,366.5,0.767880994,1.30228513,0,12,0.0,1.0,0.3333333333333333,0.1111111111111111
glibenclamide,C23H28ClN3O5S,1,7,8,7,0,1,4,11,3,1,0.2174,494.004,446.325,337.5,0.756175433,1.322444444,1,15,0.0,1.5714285714285714,1.1428571428571428,0.14285714285714285
triphenyl phosphite,C18H15O3P,0,0,15,3,0,3,0,12,1,0,0.1667,310.284,298.15,200.0,0.670803287,1.49075,0,18,0.0,4.0,5.0,0.0
2-chloro-4-nitroaniline,C6H5ClN2O2,0,0,3,3,0,0,2,5,2,1,0.3333,172.0,441.0,324.0,0.734693878,1.361111111,0,6,0.0,1.6666666666666667,1.0,0.3333333333333333
4-chloroaniline,C6H6ClN,0,0,4,2,0,0,0,4,1,1,0.0,127.0,463.0,297.0,0.641468683,1.558922559,0,6,0.0,2.0,2.0,0.5
"3,4-dichloroaniline",C6H5Cl2N,0,0,3,3,0,0,0,4,1,2,0.0,162.0,443.0,296.0,0.668171558,1.496621622,0,6,0.0,1.3333333333333333,1.0,0.6666666666666666
2-chloroaniline,C6H6ClN,0,0,4,2,0,0,0,4,1,1,0.0,127.0,435.0,292.0,0.671264368,1.489726027,0,6,0.0,2.0,2.0,0.5
3-chloroaniline,C6H6ClN,0,0,4,2,0,0,0,4,1,1,0.0,127.0,416.0,286.0,0.6875,1.454545455,0,6,0.0,2.0,2.0,0.5
